"Edit Category Id '%s'","Edit Category Id '%s'"
"Action","Action"
"Add Item","Add Item"
"All Category Reviews","All Category Reviews"
"Category ID","Category ID"
"Category Information","Category Information"
"Category Name","Category Name"
"Category information","Category information"
"Category","Category"
"Delete Current Data and Re-Generate","Delete Current Data and Re-Generate"
"Disabled","Disabled"
"Edit","Edit"
"Enabled","Enabled"
"Generate","Generate"
"Item Manager","Item Manager"
"Item does not exist","Item does not exist"
"Item was successfully saved","Item was successfully saved"
"Items Manager","Items Manager"
"No Action","No Action"
"Ratings Summary","Ratings Summary"
"Ratings","Ratings"
"Reviews Count","Reviews Count"
"Save Item","Save Item"
"Start Price","Start Price"
"Unable to find item to save","Unable to find item to save"
"Breadcrumbs","Breadcrumbs"
"Category Information","Category Information"
"Configuration","Configuration"
"Country Name","Country Name"
"Enable","Enable"
"Enable Breadcrumbs","Enable Breadcrumbs"
"General Configuration","General Configuration"
"Generate Category Structured Data","Generate Category Structured Data"
"Google Rich Snippet","Google Rich Snippet"
"Link website","Link website"
"Logo","Logo"
"Magebuzz Extension","Magebuzz Extension"
"Name","Name"
"Postal Code","Postal Code"
"Product Information","Product Information"
"Region","Region"
"Rich Snippet","Rich Snippet"
"Show Product's Price","Show Product's Price"
"Show Store Information","Show Store Information"
"Snippet","Snippet"
"Store Information","Store Information"
"Street Address","Street Address"
"Telephone","Telephone"
"Enable recursive calculation for category,"Enable recursive calculation for category"